,thinktank,year,pub,num_cites,expenses,age,con_lib
184,Carnegie Endowment for International Peace,2016,WSJ,13,34.710554,106,0
185,Carnegie Endowment for International Peace,2017,NYT,21,36.544639,107,0
186,Carnegie Endowment for International Peace,2017,WP,24,36.544639,107,0
187,Carnegie Endowment for International Peace,2017,WSJ,5,36.544639,107,0
188,Carnegie Endowment for International Peace,2018,NYT,26,37.395069,108,0
189,Carnegie Endowment for International Peace,2018,WP,31,37.395069,108,0
190,Carnegie Endowment for International Peace,2018,WSJ,13,37.395069,108,0
191,Cato Institute,2014,NYT,34,24.538565,37,1
192,Cato Institute,2014,WP,65,24.538565,37,1
193,Cato Institute,2014,WSJ,21,24.538565,37,1
194,Cato Institute,2015,NYT,16,28.246157,38,1
195,Cato Institute,2015,WP,70,28.246157,38,1
196,Cato Institute,2015,WSJ,31,28.246157,38,1
197,Cato Institute,2016,NYT,19,29.162114,39,1
198,Cato Institute,2016,WP,62,29.162114,39,1
199,Cato Institute,2016,WSJ,18,29.162114,39,1
200,Cato Institute,2017,NYT,25,30.150105,40,1
201,Cato Institute,2017,WP,92,30.150105,40,1
202,Cato Institute,2017,WSJ,27,30.150105,40,1
203,Cato Institute,2018,NYT,40,30.381673,41,1
204,Cato Institute,2018,WP,67,30.381673,41,1
205,Cato Institute,2018,WSJ,17,30.381673,41,1
206,Center for Advanced Defense Studies,2017,NYT,1,3.506627,18,0
207,Center for Advanced Defense Studies,2017,WP,1,3.506627,18,0
208,Center for Advanced Defense Studies,2018,WP,1,4.928904,19,0
209,Center for American Progress,2014,NYT,74,42.425026,11,0
210,Center for American Progress,2014,WP,56,42.425026,11,0
211,Center for American Progress,2014,WSJ,69,42.425026,11,0
212,Center for American Progress,2015,NYT,64,47.352861,12,0
213,Center for American Progress,2015,WP,71,47.352861,12,0
214,Center for American Progress,2015,WSJ,57,47.352861,12,0
215,Center for American Progress,2016,NYT,64,40.435643,13,0
216,Center for American Progress,2016,WP,64,40.435643,13,0
217,Center for American Progress,2016,WSJ,46,40.435643,13,0
218,Center for American Progress,2017,NYT,68,46.765901,14,0
219,Center for American Progress,2017,WP,87,46.765901,14,0
220,Center for American Progress,2017,WSJ,32,46.765901,14,0
221,Center for American Progress,2018,NYT,57,43.779143,15,0
222,Center for American Progress,2018,WP,85,43.779143,15,0
223,Center for American Progress,2018,WSJ,23,43.779143,15,0
224,Center for Automotive Research,2014,NYT,140,4.691498,11,0
225,Center for Automotive Research,2014,WP,123,4.691498,11,0
226,Center for Automotive Research,2014,WSJ,85,4.691498,11,0
227,Center for Automotive Research,2015,NYT,114,5.095172,12,0
228,Center for Automotive Research,2015,WP,96,5.095172,12,0
229,Center for Automotive Research,2015,WSJ,92,5.095172,12,0
230,Center for Automotive Research,2016,NYT,96,5.157656,13,0
231,Center for Automotive Research,2016,WP,88,5.157656,13,0
232,Center for Automotive Research,2016,WSJ,94,5.157656,13,0
233,Center for Automotive Research,2017,NYT,120,4.765147,14,0
234,Center for Automotive Research,2017,WP,89,4.765147,14,0
235,Center for Automotive Research,2017,WSJ,84,4.765147,14,0
236,Center for Automotive Research,2018,NYT,139,4.744707,15,0
237,Center for Automotive Research,2018,WP,73,4.744707,15,0
238,Center for Automotive Research,2018,WSJ,64,4.744707,15,0
239,Center for Climate and Energy Solutions,2014,NYT,1,4.768646,16,0
240,Center for Climate and Energy Solutions,2014,WP,1,4.768646,16,0
241,Center for Climate and Energy Solutions,2014,WSJ,2,4.768646,16,0
242,Center for Climate and Energy Solutions,2015,NYT,1,4.75751,17,0
243,Center for Climate and Energy Solutions,2015,WP,1,4.75751,17,0
244,Center for Climate and Energy Solutions,2016,NYT,1,4.245656,18,0
245,Center for Climate and Energy Solutions,2016,WP,1,4.245656,18,0
246,Center for Climate and Energy Solutions,2017,NYT,3,3.959343,19,0
247,Center for Climate and Energy Solutions,2017,WP,1,3.959343,19,0
248,Center for Climate and Energy Solutions,2017,WSJ,1,3.959343,19,0
249,Center for Climate and Energy Solutions,2018,NYT,2,4.316838,20,0
250,Center for Climate and Energy Solutions,2018,WP,1,4.316838,20,0
251,Center for Economic and Policy Research,2014,NYT,10,1.934308,15,0
252,Center for Economic and Policy Research,2014,WP,5,1.934308,15,0
253,Center for Economic and Policy Research,2014,WSJ,9,1.934308,15,0
254,Center for Economic and Policy Research,2015,NYT,9,1.792137,16,0
255,Center for Economic and Policy Research,2015,WP,4,1.792137,16,0
256,Center for Economic and Policy Research,2015,WSJ,7,1.792137,16,0
257,Center for Economic and Policy Research,2016,NYT,7,1.960944,17,0
258,Center for Economic and Policy Research,2016,WP,4,1.960944,17,0
259,Center for Economic and Policy Research,2016,WSJ,2,1.960944,17,0
260,Center for Economic and Policy Research,2017,NYT,7,1.990467,18,0
261,Center for Economic and Policy Research,2017,WP,7,1.990467,18,0
262,Center for Economic and Policy Research,2017,WSJ,1,1.990467,18,0
263,Center for Economic and Policy Research,2018,NYT,4,2.209624,19,0
264,Center for Economic and Policy Research,2018,WP,6,2.209624,19,0
265,Center for Economic and Policy Research,2018,WSJ,1,2.209624,19,0
266,Center for Excellence in Higher Education,2015,NYT,1,172.475209,8,1
267,Center for Excellence in Higher Education,2016,NYT,2,176.23851,9,1
268,Center for Excellence in Higher Education,2017,WP,1,184.139858,10,1
269,Center for Excellence in Higher Education,2018,WP,1,197.915389,11,1
270,Center for Freedom and Prosperity,2016,WP,1,0.477076,5,1
271,Center for Global Development,2014,NYT,5,14.542729,13,0
272,Center for Global Development,2014,WP,1,14.542729,13,0
273,Center for Global Development,2014,WSJ,2,14.542729,13,0
274,Center for Global Development,2015,NYT,4,15.363099,14,0
275,Center for Global Development,2015,WSJ,2,15.363099,14,0
276,Center for Global Development,2016,NYT,5,13.692105,15,0
277,Center for Global Development,2016,WP,1,13.692105,15,0
278,Center for Global Development,2017,NYT,6,15.025801,16,0
279,Center for Global Development,2017,WP,3,15.025801,16,0
280,Center for Global Development,2017,WSJ,1,15.025801,16,0
281,Center for Global Development,2018,NYT,6,16.900166,17,0
282,Center for Global Development,2018,WP,2,16.900166,17,0
283,Center for Global Development,2018,WSJ,2,16.900166,17,0
284,Center for Immigration Studies,2014,NYT,4,2.361993,29,1
285,Center for Immigration Studies,2014,WP,2,2.361993,29,1
286,Center for Immigration Studies,2014,WSJ,6,2.361993,29,1
287,Center for Immigration Studies,2015,NYT,4,2.670635,30,1
288,Center for Immigration Studies,2015,WP,4,2.670635,30,1
289,Center for Immigration Studies,2015,WSJ,4,2.670635,30,1
290,Center for Immigration Studies,2016,NYT,10,2.816435,31,1
291,Center for Immigration Studies,2016,WP,5,2.816435,31,1
292,Center for Immigration Studies,2016,WSJ,6,2.816435,31,1
293,Center for Immigration Studies,2017,NYT,16,3.020942,32,1
294,Center for Immigration Studies,2017,WP,38,3.020942,32,1
295,Center for Immigration Studies,2017,WSJ,2,3.020942,32,1
296,Center for Immigration Studies,2018,NYT,25,3.416896,33,1
297,Center for Immigration Studies,2018,WP,28,3.416896,33,1
298,Center for Immigration Studies,2018,WSJ,3,3.416896,33,1
299,Center for International Development,2016,NYT,1,0.0,39,0
300,Center for International Development,2017,NYT,2,0.0,40,0
301,Center for International Development,2017,WP,2,0.0,40,0
302,Center for International Policy,2014,NYT,4,4.602711,39,0
303,Center for International Policy,2014,WP,7,4.602711,39,0
304,Center for International Policy,2014,WSJ,3,4.602711,39,0
305,Center for International Policy,2015,NYT,3,4.922484,40,0
306,Center for International Policy,2015,WP,2,4.922484,40,0
307,Center for International Policy,2015,WSJ,2,4.922484,40,0
308,Center for International Policy,2016,NYT,5,5.101628,41,0
309,Center for International Policy,2016,WP,4,5.101628,41,0
310,Center for International Policy,2016,WSJ,2,5.101628,41,0
311,Center for International Policy,2017,NYT,4,3.01695,42,0
312,Center for International Policy,2017,WP,6,3.01695,42,0
313,Center for International Policy,2017,WSJ,1,3.01695,42,0
314,Center for International Policy,2018,NYT,1,4.721624,43,0
315,Center for International Policy,2018,WP,6,4.721624,43,0
316,Center for International Policy,2018,WSJ,1,4.721624,43,0
317,Center for International Security and Cooperation,2016,NYT,2,0.0,33,0
318,Center for International Security and Cooperation,2016,WP,1,0.0,33,0
319,Center for International Security and Cooperation,2017,NYT,3,0.0,34,0
320,Center for International Security and Cooperation,2017,WP,2,0.0,34,0
321,Center for International Security and Cooperation,2017,WSJ,1,0.0,34,0
322,Center for International Security and Cooperation,2018,NYT,5,0.0,35,0
323,Center for International Security and Cooperation,2018,WP,5,0.0,35,0
324,Center for International Security and Cooperation,2018,WSJ,1,0.0,35,0
325,Center for Media and Democracy,2014,WSJ,1,1.007545,21,0
326,Center for Media and Democracy,2016,NYT,1,1.796051,23,0
327,Center for Media and Democracy,2016,WP,1,1.796051,23,0
328,Center for Media and Democracy,2017,NYT,2,1.843241,24,0
329,Center for Media and Democracy,2017,WP,2,1.843241,24,0
330,Center for National Policy,2014,WSJ,1,3.008074,33,0
331,Center for National Policy,2015,WP,1,2.495848,34,0
332,Center for National Policy,2017,WP,1,2.609001,36,0
333,Center for Naval Analysis,2014,WP,1,115.401836,72,0
334,Center for Naval Analysis,2018,WP,2,121.899149,76,0
335,Center for Public Integrity,2014,NYT,9,8.413507,25,0
336,Center for Public Integrity,2014,WP,11,8.413507,25,0
337,Center for Public Integrity,2014,WSJ,5,8.413507,25,0
338,Center for Public Integrity,2015,NYT,7,9.653457,26,0
339,Center for Public Integrity,2015,WP,9,9.653457,26,0
340,Center for Public Integrity,2015,WSJ,1,9.653457,26,0
341,Center for Public Integrity,2016,NYT,7,8.019182,27,0
342,Center for Public Integrity,2016,WP,11,8.019182,27,0
343,Center for Public Integrity,2016,WSJ,7,8.019182,27,0
344,Center for Public Integrity,2017,NYT,4,5.208118,28,0
345,Center for Public Integrity,2017,WP,8,5.208118,28,0
346,Center for Public Integrity,2017,WSJ,1,5.208118,28,0
347,Center for Public Integrity,2018,NYT,3,5.95415,29,0
348,Center for Public Integrity,2018,WP,4,5.95415,29,0
349,Center for Security Policy,2014,NYT,1,3.503654,26,1
350,Center for Security Policy,2014,WP,3,3.503654,26,1
351,Center for Security Policy,2014,WSJ,1,3.503654,26,1
352,Center for Security Policy,2015,NYT,1,4.945226,27,1
353,Center for Security Policy,2015,WP,9,4.945226,27,1
354,Center for Security Policy,2015,WSJ,2,4.945226,27,1
355,Center for Security Policy,2016,NYT,1,6.446998,28,1
356,Center for Security Policy,2016,WP,7,6.446998,28,1
357,Center for Security Policy,2016,WSJ,1,6.446998,28,1
358,Center for Security Policy,2017,NYT,1,4.972423,29,1
359,Center for Security Policy,2017,WP,5,4.972423,29,1
360,Center for Security Policy,2018,NYT,2,4.858451,30,1
361,Center for Security Policy,2018,WP,7,4.858451,30,1
362,Center for Security Policy,2018,WSJ,2,4.858451,30,1
363,Center for Strategic and Budgetary Assessments,2014,NYT,6,6.216434,31,0
364,Center for Strategic and Budgetary Assessments,2014,WP,15,6.216434,31,0
365,Center for Strategic and Budgetary Assessments,2014,WSJ,8,6.216434,31,0
366,Center for Strategic and Budgetary Assessments,2015,WP,17,6.433222,32,0
367,Center for Strategic and Budgetary Assessments,2015,WSJ,3,6.433222,32,0
368,Center for Strategic and Budgetary Assessments,2016,NYT,2,7.824908,33,0
369,Center for Strategic and Budgetary Assessments,2016,WP,14,7.824908,33,0
370,Center for Strategic and Budgetary Assessments,2016,WSJ,1,7.824908,33,0
371,Center for Strategic and Budgetary Assessments,2017,NYT,2,8.653272,34,0
372,Center for Strategic and Budgetary Assessments,2017,WP,12,8.653272,34,0
373,Center for Strategic and Budgetary Assessments,2017,WSJ,3,8.653272,34,0
374,Center for Strategic and Budgetary Assessments,2018,NYT,1,8.381837,35,0
375,Center for Strategic and Budgetary Assessments,2018,WP,15,8.381837,35,0
376,Center for Strategic and Budgetary Assessments,2018,WSJ,3,8.381837,35,0
377,Center for Strategic and International Studies,2014,NYT,67,37.47292,52,0
378,Center for Strategic and International Studies,2014,WP,70,37.47292,52,0
379,Center for Strategic and International Studies,2014,WSJ,44,37.47292,52,0
380,Center for Strategic and International Studies,2015,NYT,62,38.935803,53,0
381,Center for Strategic and International Studies,2015,WP,60,38.935803,53,0
382,Center for Strategic and International Studies,2015,WSJ,27,38.935803,53,0
383,Center for Strategic and International Studies,2016,NYT,80,44.893732,54,0
384,Center for Strategic and International Studies,2016,WP,67,44.893732,54,0
385,Center for Strategic and International Studies,2016,WSJ,42,44.893732,54,0
386,Center for Strategic and International Studies,2017,NYT,85,46.332597,55,0
387,Center for Strategic and International Studies,2017,WP,77,46.332597,55,0
388,Center for Strategic and International Studies,2017,WSJ,39,46.332597,55,0
389,Center for Strategic and International Studies,2018,NYT,97,45.841469,56,0
390,Center for Strategic and International Studies,2018,WP,133,45.841469,56,0
391,Center for Strategic and International Studies,2018,WSJ,55,45.841469,56,0
392,Center for Transatlantic Relations,2014,WP,1,0.0,13,0
393,Center for Transatlantic Relations,2018,NYT,1,0.0,17,0
394,Center for Transatlantic Relations,2018,WP,1,0.0,17,0
395,Center for a Just Society,2015,WP,1,0.0,11,1
396,Center for a New American Security,2014,NYT,11,9.157223,7,0
397,Center for a New American Security,2014,WP,12,9.157223,7,0
398,Center for a New American Security,2014,WSJ,7,9.157223,7,0
399,Center for a New American Security,2015,NYT,8,9.157223,8,0
400,Center for a New American Security,2015,WP,34,9.157223,8,0
401,Center for a New American Security,2015,WSJ,3,9.157223,8,0
402,Center for a New American Security,2016,NYT,14,9.157223,9,0
403,Center for a New American Security,2016,WP,26,9.157223,9,0
404,Center for a New American Security,2016,WSJ,9,9.157223,9,0
405,Center for a New American Security,2017,NYT,20,9.751151,10,0
406,Center for a New American Security,2017,WP,33,9.751151,10,0
407,Center for a New American Security,2017,WSJ,11,9.751151,10,0
408,Center for a New American Security,2018,NYT,21,10.589419,11,0
409,Center for a New American Security,2018,WP,48,10.589419,11,0
410,Center for a New American Security,2018,WSJ,9,10.589419,11,0
411,Center on Budget and Policy Priorities,2014,NYT,14,30.948012,33,0
412,Center on Budget and Policy Priorities,2014,WP,19,30.948012,33,0
413,Center on Budget and Policy Priorities,2014,WSJ,11,30.948012,33,0
414,Center on Budget and Policy Priorities,2015,NYT,30,33.807175,34,0
415,Center on Budget and Policy Priorities,2015,WP,19,33.807175,34,0
416,Center on Budget and Policy Priorities,2015,WSJ,13,33.807175,34,0
417,Center on Budget and Policy Priorities,2016,NYT,30,28.721352,35,0
418,Center on Budget and Policy Priorities,2016,WP,23,28.721352,35,0
419,Center on Budget and Policy Priorities,2016,WSJ,8,28.721352,35,0
420,Center on Budget and Policy Priorities,2017,NYT,40,33.287285,36,0
421,Center on Budget and Policy Priorities,2017,WP,42,33.287285,36,0
422,Center on Budget and Policy Priorities,2017,WSJ,4,33.287285,36,0
423,Center on Budget and Policy Priorities,2018,NYT,29,36.546328,37,0
424,Center on Budget and Policy Priorities,2018,WP,31,36.546328,37,0
425,Center on Budget and Policy Priorities,2018,WSJ,5,36.546328,37,0
426,Center on Global Interests,2016,WP,1,0.677233,4,0
427,Center on Global Interests,2017,WP,1,0.612108,5,0
428,Chicago Council on Global Affairs,2014,NYT,6,10.805758,92,0
429,Chicago Council on Global Affairs,2014,WP,3,10.805758,92,0
430,Chicago Council on Global Affairs,2015,NYT,6,14.353917,93,0
431,Chicago Council on Global Affairs,2015,WP,3,14.353917,93,0
432,Chicago Council on Global Affairs,2015,WSJ,2,14.353917,93,0
433,Chicago Council on Global Affairs,2016,NYT,7,15.37969,94,0
434,Chicago Council on Global Affairs,2016,WP,3,15.37969,94,0
435,Chicago Council on Global Affairs,2016,WSJ,3,15.37969,94,0
436,Chicago Council on Global Affairs,2017,NYT,5,16.80657,95,0
437,Chicago Council on Global Affairs,2017,WP,10,16.80657,95,0
438,Chicago Council on Global Affairs,2017,WSJ,4,16.80657,95,0
439,Chicago Council on Global Affairs,2018,NYT,9,16.873096,96,0
440,Chicago Council on Global Affairs,2018,WP,2,16.873096,96,0
441,Chicago Council on Global Affairs,2018,WSJ,3,16.873096,96,0
442,Claremont Institute,2014,WP,1,4.898449,35,1
443,Claremont Institute,2015,NYT,1,5.533681,36,1
444,Claremont Institute,2015,WSJ,1,5.533681,36,1
445,Claremont Institute,2016,NYT,1,4.972703,37,1
446,Claremont Institute,2016,WP,2,4.972703,37,1
447,Claremont Institute,2017,NYT,1,5.093063,38,1
448,Claremont Institute,2017,WSJ,1,5.093063,38,1
449,Claremont Institute,2018,WP,1,4.558364,39,1
450,Committee for Economic Development,2015,NYT,1,60.529474,73,0
451,Committee for Economic Development,2015,WP,1,60.529474,73,0
452,Committee for Economic Development,2016,WSJ,1,61.913872,74,0
453,Committee for a Responsible Federal Budget,2014,NYT,3,2.646618,33,0
454,Committee for a Responsible Federal Budget,2014,WP,8,2.646618,33,0
